category,module
Statistik,Statistik
Statistik,Stochastik
Statistik,Empirische Statistik
Statistik,Deskriptive Statistik
Statistik,Induktive Statistik
Statistik,Mathematische Statistik
Statistik,Statistik I
Statistik,Statistik II
Statistik,Statistische Datenanalyse
Statistik,Probability Theory
Statistik,Mathematical Statistics
Statistik,Applied Statistics
Statistik,Biostatistics
Statistik,Zeitreihenanalyse
Statistik,Multivariate Analysis
Statistik,Regressionsanalyse
Statistik,Statistische Inferenz
Statistik,Bayessche Statistik
Statistik,Wahrscheinlichkeitstheorie
Statistik,Methoden der Statistik
Statistik,Statistische Theorie
Statistik,Statistische Modelle
Statistik,Statistische Methoden I
Statistik,Statistische Simulation
Statistik,Explorative Datenanalyse
Statistik,Statistische Versuchsplanung
Statistik,Introduction to econometrics
VWL,Intermediate microeconomics 2 
VWL,Volkswirtschaftslehre
VWL,Economics
VWL,Einführung in die Volkswirtschaftslehre
VWL,Grundzüge der Volkswirtschaftslehre
VWL,VWL 1
VWL,Makroökonomie
VWL,Mikroökonomie
VWL,Mikroökonomie I
VWL,Mikroökonomie II
VWL,Makroökonomie I
VWL,Makroökonomie II
VWL,Ökonomik
VWL,Public Economics
VWL,International Economics
VWL,Monetary Economics
VWL,Entwicklungsökonomie
VWL,Arbeitsmarktökonomie
VWL,Industrieökonomie
VWL,Ökonometrie
VWL,Finanzmärkte
VWL,Wirtschaftspolitik
VWL,Mikroökonomische Theorie
VWL,Makroökonomische Theorie
VWL,Grundlagen der Volkswirtschaftslehre
VWL,Volkswirtschaft I
VWL,Volkswirtschaft II
VWL,Introductory macroeconomics
BWL,Betriebswirtschaftslehre
BWL,Business Administration
BWL,Einführung in die Betriebswirtschaft
BWL,Grundlagen der BWL
BWL,Rechnungswesen
BWL,Internes Rechnungswesen
BWL,Externes Rechnungswesen
BWL,Controlling
BWL,Marketing
BWL,Organisation und Personal
BWL,Investition und Finanzierung
BWL,Unternehmensführung
BWL,Strategisches Management
BWL,Produktionswirtschaft
BWL,Kostenrechnung
BWL,Unternehmensrecht
BWL,Management
BWL,Accounting
BWL,Business Economics
BWL,Entrepreneurship
BWL,Supply Chain Management
BWL,Operations Management
BWL,Unternehmensplanung
BWL,Unternehmensstrategie
BWL,International Business
BWL,Management Accounting
BWL,Externes Rechnungswesen
BWL,Accounting and organisations
