LMU München
WHU – Otto Beisheim School of Management
Uni Mannheim
TUM (TU München)
German Graduate School of Management & Law
HU Berlin
IBS Oldenburg
Freie Universität Berlin
Uni Bayreuth
Uni Köln
Provadis Hochschule
RWTH Aachen
Uni Frankfurt
Uni Hamburg
Leipzig Graduate School of Management
Uni Erlangen (Friedrich-Alexander-Universität Erlangen-Nürnberg)
Uni Münster
EBS Universität
KLU (Kühne Logistics University)
Frankfurt School
SRH Wilhelm Löhe Hochschule (SRH WLH)
Uni Bonn
ESCP Berlin
Uni Heidelberg
Uni Göttingen
Leuphana
Hochschule Reutlingen
Zeppelin Universität
HTW Berlin
Constructor University (ehemals: Jacobs University)
CBS University of Applied Sciences
Uni Düsseldorf
EUFH Brühl
Alanus Hochschule
TUHH (TU Hamburg)
Munich Business School
SRH Berlin University of Applied Sciences
FH Aachen
BSP Business and Law School
Frankfurt UAS
FHdW Hannover
Uni Tübingen
KU Eichstätt (Katholische Universität Eichstätt-Ingolstadt)
HWR Berlin
TH Köln
HS Esslingen
TU Dresden
Hochschule München
PFH Göttingen (Private Fachhochschule Göttingen)
TU Berlin
Heinrich-Heine-Universität Düsseldorf
